"Gene","ALAD_vs_Healthy","NLAD_vs_Healthy","ALAD_vs_NLAD"
"1",TRUE,FALSE,TRUE
"2",TRUE,FALSE,TRUE
"3",TRUE,FALSE,TRUE
"4",TRUE,FALSE,TRUE
"5",TRUE,FALSE,TRUE
"6",TRUE,FALSE,TRUE
"7",TRUE,FALSE,TRUE
"8",TRUE,FALSE,TRUE
"9",TRUE,FALSE,TRUE
"10",TRUE,FALSE,TRUE
"11",TRUE,FALSE,TRUE
"12",TRUE,FALSE,TRUE
"13",TRUE,FALSE,TRUE
"14",TRUE,FALSE,TRUE
"15",TRUE,FALSE,TRUE
"16",TRUE,FALSE,TRUE
"17",TRUE,FALSE,TRUE
"18",TRUE,FALSE,TRUE
"19",TRUE,FALSE,TRUE
"20",TRUE,FALSE,TRUE
"21",TRUE,FALSE,TRUE
"22",TRUE,FALSE,TRUE
"23",TRUE,FALSE,TRUE
"24",TRUE,FALSE,TRUE
"25",TRUE,FALSE,TRUE
"26",TRUE,FALSE,TRUE
"27",TRUE,FALSE,TRUE
"28",TRUE,FALSE,TRUE
"29",TRUE,FALSE,TRUE
"30",TRUE,FALSE,TRUE
"31",TRUE,FALSE,TRUE
"32",TRUE,FALSE,FALSE
"33",TRUE,FALSE,FALSE
"34",TRUE,FALSE,FALSE
"35",TRUE,FALSE,FALSE
"36",TRUE,FALSE,FALSE
"37",TRUE,FALSE,FALSE
"38",TRUE,FALSE,FALSE
"39",TRUE,FALSE,FALSE
"40",TRUE,FALSE,FALSE
"41",TRUE,FALSE,FALSE
"42",TRUE,FALSE,FALSE
"43",TRUE,FALSE,FALSE
"44",TRUE,FALSE,FALSE
"45",TRUE,FALSE,FALSE
"46",TRUE,FALSE,FALSE
"47",TRUE,FALSE,FALSE
"48",TRUE,FALSE,FALSE
"49",TRUE,FALSE,FALSE
"50",TRUE,FALSE,FALSE
"51",TRUE,FALSE,FALSE
"52",TRUE,FALSE,FALSE
"53",TRUE,FALSE,FALSE
"54",TRUE,FALSE,FALSE
"55",TRUE,FALSE,FALSE
"56",TRUE,FALSE,FALSE
"57",TRUE,FALSE,FALSE
"58",TRUE,FALSE,FALSE
"59",TRUE,FALSE,FALSE
"60",TRUE,FALSE,FALSE
"61",TRUE,FALSE,FALSE
"62",TRUE,FALSE,FALSE
"63",TRUE,FALSE,FALSE
"64",TRUE,FALSE,FALSE
"65",TRUE,FALSE,FALSE
"66",TRUE,FALSE,FALSE
"67",TRUE,FALSE,FALSE
"68",TRUE,FALSE,FALSE
"69",TRUE,FALSE,FALSE
"70",TRUE,FALSE,FALSE
"71",TRUE,FALSE,FALSE
"72",TRUE,FALSE,FALSE
"73",TRUE,FALSE,FALSE
"74",TRUE,FALSE,FALSE
"75",TRUE,FALSE,FALSE
"76",TRUE,FALSE,FALSE
"77",TRUE,FALSE,FALSE
"78",TRUE,FALSE,FALSE
"79",TRUE,FALSE,FALSE
"80",TRUE,FALSE,FALSE
"81",TRUE,FALSE,FALSE
"82",TRUE,FALSE,FALSE
"83",TRUE,FALSE,FALSE
"84",TRUE,FALSE,FALSE
"85",TRUE,FALSE,FALSE
"86",TRUE,FALSE,FALSE
"87",TRUE,FALSE,FALSE
"88",TRUE,FALSE,FALSE
"89",TRUE,FALSE,FALSE
"90",TRUE,FALSE,FALSE
"91",TRUE,FALSE,FALSE
"92",TRUE,FALSE,FALSE
"93",TRUE,FALSE,FALSE
"94",TRUE,FALSE,FALSE
